Wall time,Step,Value
1698983941.9509385,2000,-1.0
1698984003.3778794,4000,-1.0
1698984065.093803,6000,-1.0
1698984126.7960382,8000,-1.0
1698984189.2357528,10000,-1.0
1698984252.6005216,12000,-1.0
1698984315.1445174,14000,-1.0
1698984377.7980845,16000,-1.0
1698984440.5928311,18000,-1.0
1698984504.3244853,20000,-1.0
1698984568.0832884,22000,-1.0
1698984631.0849488,24000,-1.0
1698984694.0596082,26000,-1.0
1698984757.0344322,28000,-1.0
1698984820.1519434,30000,-1.0
1698984883.0906868,32000,-1.0
1698984946.1435847,34000,-1.0
1698985010.0412824,36000,-1.0
1698985074.5129256,38000,-1.0
1698985138.9145365,40000,-1.0
1698985202.2711334,42000,-1.0
1698985266.2412052,44000,-1.0
1698985330.414357,46000,-1.0
1698985395.1397598,48000,-1.0
1698985459.8894742,50000,-1.0
1698985523.5629737,52000,-1.0
1698985588.0833592,54000,-1.0
1698985652.8410115,56000,-1.0
1698985717.296653,58000,-1.0
1698985782.2654285,60000,-1.0
1698985846.8592062,62000,-1.0
1698985911.4082286,64000,-1.0
1698985976.5246902,66000,-1.0
1698986041.3797834,68000,-1.0
1698986106.5751257,70000,-1.0
1698986172.8399675,72000,-1.0
1698986238.1536715,74000,-1.0
1698986303.0935833,76000,-1.0
1698986368.5326965,78000,-1.0
1698986433.956684,80000,-1.0
1698986498.5261924,82000,-1.0
1698986563.4274015,84000,-0.8999999761581421
1698986628.1021342,86000,-1.0
1698986693.1663651,88000,-1.0
1698986758.067783,90000,-1.0
1698986822.9369826,92000,-1.0
1698986888.000351,94000,-1.0
1698986953.1209474,96000,-1.0
1698987018.4441636,98000,-1.0
1698987083.1572144,100000,-1.0
1698987148.293164,102000,-1.0
1698987212.8698602,104000,-1.0
1698987278.0459478,106000,-1.0
1698987342.9885728,108000,-1.0
1698987408.2757509,110000,-1.0
1698987473.9736753,112000,-1.0
1698987539.652433,114000,-1.0
1698987605.2915378,116000,-1.0
1698987670.669328,118000,-1.0
1698987736.1964028,120000,-0.8999999761581421
1698987801.5961308,122000,-0.8999999761581421
1698987867.2488763,124000,-0.8999999761581421
1698987932.8843296,126000,-0.8999999761581421
1698987998.7375884,128000,-0.8999999761581421
1698988064.5445912,130000,-0.8999999761581421
1698988130.4608605,132000,-0.8999999761581421
1698988196.2340508,134000,-0.8999999761581421
1698988261.8940709,136000,-0.8999999761581421
1698988327.8177905,138000,-1.0
1698988393.7872686,140000,-1.0
1698988459.5540845,142000,-1.0
1698988525.3405764,144000,-1.0
1698988591.2411768,146000,-0.800000011920929
1698988656.8627498,148000,-0.800000011920929
1698988722.6254382,150000,-0.6000000238418579
1698988788.879749,152000,-0.800000011920929
1698988855.1100426,154000,-0.5
1698988920.321148,156000,-0.800000011920929
1698988985.3081431,158000,-0.699999988079071
1698989050.3443453,160000,-0.800000011920929
1698989115.5844479,162000,-1.0
1698989180.6527255,164000,-0.699999988079071
1698989245.6454287,166000,-0.8999999761581421
1698989310.5468915,168000,-0.6000000238418579
1698989375.3197846,170000,-0.4000000059604645
1698989440.1388624,172000,-0.8999999761581421
1698989505.0198846,174000,-1.0
1698989570.1729321,176000,-0.699999988079071
1698989635.747275,178000,-0.4000000059604645
1698989700.9225557,180000,-0.6000000238418579
1698989766.1694684,182000,-0.5
1698989831.4138398,184000,-0.10000000149011612
1698989897.0214229,186000,-0.30000001192092896
1698989962.4039173,188000,-0.20000000298023224
1698990027.9554377,190000,-0.5
1698990093.8115659,192000,-0.30000001192092896
1698990158.9907796,194000,-0.30000001192092896
1698990224.710317,196000,-0.20000000298023224
1698990290.0926352,198000,-0.20000000298023224
1698990355.7973816,200000,-0.10000000149011612
1698990421.4437776,202000,-0.30000001192092896
1698990487.2598019,204000,-0.30000001192092896
1698990552.8944364,206000,-0.10000000149011612
1698990618.4434912,208000,-0.4000000059604645
1698990684.3297439,210000,-0.30000001192092896
1698990750.2767217,212000,0.0
1698990815.844034,214000,-0.30000001192092896
1698990881.460014,216000,-0.20000000298023224
1698990946.8522913,218000,-0.10000000149011612
1698991011.8372447,220000,0.0
1698991076.9859834,222000,-0.20000000298023224
1698991142.0471833,224000,-0.30000001192092896
1698991207.3365414,226000,-0.20000000298023224
1698991273.0605106,228000,-0.10000000149011612
1698991338.6307802,230000,-0.10000000149011612
1698991404.714476,232000,-0.10000000149011612
1698991470.5583894,234000,0.0
1698991536.6581993,236000,0.0
1698991602.639256,238000,0.0
1698991668.8988636,240000,0.0
1698991734.993556,242000,0.0
1698991801.5466974,244000,-0.10000000149011612
1698991867.7071729,246000,0.0
1698991933.847016,248000,0.0
1698991999.8942072,250000,0.0
1698992066.9724457,252000,0.0
1698992135.184329,254000,0.0
1698992206.6030474,256000,-0.20000000298023224
1698992272.8237603,258000,0.0
1698992339.3911114,260000,0.0
1698992406.848063,262000,0.0
1698992472.508531,264000,-0.10000000149011612
1698992538.66678,266000,0.0
1698992605.6255324,268000,0.0
1698992671.4908328,270000,0.0
1698992737.6382,272000,-0.10000000149011612
1698992803.374711,274000,-0.20000000298023224
1698992869.0672717,276000,0.0
1698992936.1682045,278000,0.0
1698993002.475124,280000,-0.10000000149011612
1698993068.7650673,282000,0.0
1698993135.0141156,284000,0.0
1698993201.211132,286000,0.0
1698993267.960247,288000,0.0
1698993337.1314611,290000,0.0
1698993404.7187693,292000,-0.20000000298023224
1698993476.549846,294000,-0.20000000298023224
1698993543.211311,296000,0.0
1698993608.73158,298000,0.0
1698993674.2978826,300000,0.0
1698993739.6000693,302000,0.0
1698993805.3710296,304000,0.0
1698993871.4305828,306000,-0.10000000149011612
1698993937.2119164,308000,0.0
1698994002.5003042,310000,0.0
1698994068.369418,312000,-0.10000000149011612
1698994133.9918985,314000,-0.10000000149011612
1698994199.6481166,316000,-0.20000000298023224
1698994265.2628803,318000,-0.10000000149011612
1698994330.8815646,320000,0.0
1698994396.1753337,322000,-0.10000000149011612
1698994461.5123053,324000,0.0
1698994527.0031135,326000,0.0
1698994592.7621224,328000,0.0
1698994658.9009802,330000,0.0
1698994724.3381908,332000,0.0
1698994790.492278,334000,0.0
1698994856.3081617,336000,0.0
1698994921.815424,338000,0.0
1698994987.6068392,340000,0.0
1698995053.444872,342000,-0.10000000149011612
1698995119.569108,344000,-0.10000000149011612
1698995185.2254066,346000,0.0
1698995250.7301428,348000,0.0
1698995316.9586504,350000,-0.10000000149011612
1698995383.1941679,352000,0.0
1698995449.0428898,354000,0.0
1698995515.6099832,356000,-0.10000000149011612
