Wall time,Step,Value
1698896607.6684651,2000,-1.0
1698896665.3723168,4000,-1.0
1698896723.6677,6000,-1.0
1698896784.0880876,8000,-1.0
1698896844.122813,10000,-1.0
1698896903.972505,12000,-1.0
1698896964.1774032,14000,-1.0
1698897023.563477,16000,-1.0
1698897083.4406939,18000,-1.0
1698897143.7807753,20000,-1.0
1698897204.7695456,22000,-1.0
1698897265.3553321,24000,-1.0
1698897326.8447874,26000,-1.0
1698897387.0962276,28000,-1.0
1698897447.725711,30000,-1.0
1698897507.7695062,32000,-1.0
1698897567.6778939,34000,-1.0
1698897627.8141296,36000,-1.0
1698897687.414398,38000,-1.0
1698897747.0800602,40000,-1.0
1698897806.319677,42000,-1.0
1698897865.8123674,44000,-1.0
1698897924.7076375,46000,-1.0
1698897983.741591,48000,-1.0
1698898042.4242673,50000,-1.0
1698898101.026805,52000,-1.0
1698898159.9924736,54000,-1.0
1698898219.021843,56000,-1.0
1698898277.9591608,58000,-1.0
1698898337.0533085,60000,-1.0
1698898395.8567677,62000,-1.0
1698898455.031418,64000,-1.0
1698898514.104542,66000,-1.0
1698898573.2079053,68000,-1.0
1698898632.0020983,70000,-1.0
1698898690.8938546,72000,-1.0
1698898750.2698758,74000,-1.0
1698898809.7796414,76000,-1.0
1698898869.278762,78000,-1.0
1698898928.425626,80000,-1.0
1698898987.5604167,82000,-1.0
1698899046.674166,84000,-1.0
1698899106.0800705,86000,-1.0
1698899165.4547014,88000,-1.0
1698899225.0427415,90000,-1.0
1698899284.7007618,92000,-1.0
1698899344.5295093,94000,-1.0
1698899404.3782778,96000,-1.0
1698899464.816978,98000,-1.0
1698899525.095884,100000,-1.0
1698899585.6605196,102000,-1.0
1698899646.6079915,104000,-1.0
1698899707.1837978,106000,-1.0
1698899768.1484873,108000,-1.0
1698899828.5961199,110000,-1.0
1698899889.2558715,112000,-1.0
1698899950.1173162,114000,-1.0
1698900010.6198819,116000,-1.0
1698900071.0675433,118000,-1.0
1698900131.8262944,120000,-1.0
1698900192.2053525,122000,-1.0
1698900253.2429972,124000,-1.0
1698900313.9544492,126000,-1.0
1698900374.4905012,128000,-1.0
1698900435.0297186,130000,-1.0
1698900495.5587072,132000,-1.0
1698900556.5610144,134000,-1.0
1698900617.0935163,136000,-1.0
1698900677.726856,138000,-1.0
1698900738.2948549,140000,-1.0
1698900798.345446,142000,-1.0
1698900858.4866278,144000,-1.0
1698900918.7615237,146000,-1.0
1698900979.2961006,148000,-1.0
1698901039.630766,150000,-1.0
1698901100.2884398,152000,-1.0
1698901160.788587,154000,-1.0
1698901221.2090707,156000,-1.0
1698901281.7375183,158000,-1.0
1698901342.0659149,160000,-1.0
1698901402.3924844,162000,-1.0
1698901462.8269212,164000,-1.0
1698901523.4950728,166000,-1.0
1698901583.858425,168000,-1.0
1698901644.0277026,170000,-1.0
1698901704.3255744,172000,-1.0
1698901764.8263035,174000,-1.0
1698901825.553793,176000,-1.0
1698901886.393824,178000,-1.0
1698901946.8202724,180000,-1.0
1698902007.1164792,182000,-1.0
1698902067.8813703,184000,-1.0
1698902128.3917625,186000,-1.0
1698902188.9501276,188000,-1.0
1698902249.6452935,190000,-1.0
1698902310.1020389,192000,-1.0
1698902370.7434483,194000,-1.0
1698902431.344292,196000,-1.0
1698902491.9947195,198000,-1.0
1698902552.3075142,200000,-1.0
1698902612.9678543,202000,-1.0
1698902673.4371066,204000,-1.0
1698902734.1008294,206000,-1.0
1698902794.878895,208000,-1.0
1698902855.7890356,210000,-1.0
1698902916.5125637,212000,-1.0
1698902977.385709,214000,-1.0
1698903038.2972558,216000,-1.0
1698903099.8396604,218000,-1.0
1698903160.96402,220000,-1.0
1698903221.9680245,222000,-1.0
1698903282.9926133,224000,-1.0
1698903344.2363267,226000,-1.0
1698903405.929053,228000,-1.0
1698903467.5731745,230000,-1.0
1698903529.8780591,232000,-1.0
1698903592.0490081,234000,-1.0
1698903654.5703144,236000,-1.0
1698903716.6624346,238000,-1.0
1698903778.8035383,240000,-1.0
1698903841.0119975,242000,-0.8999999761581421
1698903902.937587,244000,-1.0
1698903965.0370347,246000,-1.0
1698904027.1835804,248000,-1.0
1698904089.3328116,250000,-1.0
1698904151.7282095,252000,-0.8999999761581421
1698904214.0735211,254000,-1.0
1698904276.078887,256000,-1.0
1698904338.3143911,258000,-1.0
1698904400.3906133,260000,-1.0
1698904462.3836708,262000,-0.800000011920929
1698904523.8627503,264000,-0.5
1698904585.8202593,266000,-1.0
1698904647.9906003,268000,-1.0
1698904709.7847092,270000,-0.5
1698904771.950159,272000,-1.0
1698904834.2123013,274000,-1.0
1698904896.865657,276000,-1.0
1698904959.19103,278000,-1.0
1698905021.5027251,280000,-1.0
1698905083.8968272,282000,-1.0
1698905145.927449,284000,-1.0
1698905207.9363914,286000,-0.8999999761581421
1698905270.145871,288000,-1.0
1698905331.9918284,290000,-1.0
1698905395.993818,292000,-1.0
1698905458.805793,294000,-1.0
1698905522.6156516,296000,-1.0
1698905586.2844887,298000,-1.0
1698905649.1727266,300000,-1.0
1698905713.0813732,302000,-1.0
1698905775.8073847,304000,-1.0
1698905837.9567552,306000,-1.0
1698905899.723234,308000,-1.0
1698905962.3659842,310000,-1.0
1698906024.0992515,312000,-1.0
1698906090.114891,314000,-0.8999999761581421
1698906152.6518729,316000,-1.0
1698906216.0876231,318000,-0.699999988079071
1698906279.2546327,320000,-1.0
1698906342.2559743,322000,-1.0
1698906408.8320444,324000,-0.8999999761581421
1698906473.6825235,326000,-0.8999999761581421
1698906537.7393234,328000,-0.800000011920929
1698906602.1241877,330000,-0.800000011920929
1698906665.8086464,332000,-0.699999988079071
1698906728.2837152,334000,-0.8999999761581421
1698906794.6388817,336000,-0.699999988079071
1698906857.164147,338000,-0.6000000238418579
1698906920.0232081,340000,-0.800000011920929
1698906983.1015952,342000,-1.0
1698907045.3629756,344000,-0.699999988079071
1698907107.148067,346000,-0.4000000059604645
1698907168.8829706,348000,-0.6000000238418579
1698907230.855986,350000,-1.0
1698907293.1804051,352000,-1.0
