Wall time,Step,Value
1703639184.8837154,2000,0.0
1703639270.2529254,4000,0.0
1703639354.049715,6000,0.0
1703639438.9067817,8000,0.0
1703639524.6484187,10000,0.0
1703639610.0048354,12000,0.0
1703639696.0148287,14000,0.0
1703639781.5995476,16000,0.0
1703639870.320199,18000,0.0
1703639957.6284997,20000,0.0
1703640044.8397722,22000,0.0
1703640133.494803,24000,0.0
1703640221.7839925,26000,0.0
1703640308.665251,28000,0.0
1703640395.5787947,30000,0.0
1703640484.3076236,32000,0.0
1703640571.5437849,34000,0.0
1703640658.918769,36000,0.0
1703640748.0808535,38000,0.0
1703640837.8548508,40000,0.0
1703640927.9928153,42000,0.0
1703641017.4765658,44000,0.0
1703641106.802526,46000,0.0
1703641195.6653225,48000,0.0
1703641285.3037062,50000,0.0
1703641376.3158839,52000,0.0
1703641467.122386,54000,0.0
1703641556.9840717,56000,0.0
1703641646.927972,58000,0.0
1703641738.9948547,60000,0.0
1703641832.421486,62000,0.0
1703641925.5058057,64000,0.0
1703642021.299115,66000,0.0
1703642113.8246512,68000,0.0
1703642207.1337006,70000,0.0
1703642300.2372313,72000,0.0
1703642391.763564,74000,1.0
1703642483.1236308,76000,1.0
1703642577.0716982,78000,1.0
1703642677.881651,80000,1.0
1703642775.6001837,82000,1.0
1703642868.0985584,84000,0.0
1703642962.736469,86000,1.0
1703643061.7288237,88000,0.0
1703643158.8679736,90000,1.0
1703643252.0294735,92000,1.0
1703643341.4706132,94000,1.0
1703643431.206317,96000,1.0
1703643522.3120146,98000,1.0
1703643613.042852,100000,1.0
1703643702.848075,102000,1.0
1703643792.1965141,104000,1.0
1703643881.4168751,106000,1.0
1703643971.0777462,108000,1.0
1703644065.7179286,110000,1.0
1703644163.5700982,112000,1.0
1703644260.551554,114000,0.0
1703644354.5954516,116000,1.0
1703644451.3204796,118000,1.0
1703644545.8125522,120000,1.0
1703644640.677461,122000,1.0
1703644734.5450761,124000,1.0
1703644824.8744652,126000,1.0
1703644917.278999,128000,1.0
1703645011.3522513,130000,1.0
1703645101.8158967,132000,1.0
1703645195.9328976,134000,1.0
1703645291.044235,136000,1.0
1703645391.9160502,138000,1.0
1703645493.7858176,140000,1.0
1703645592.1815848,142000,1.0
1703645694.4541912,144000,1.0
1703645794.9530268,146000,1.0
1703645890.6377518,148000,1.0
1703645986.053842,150000,1.0
1703646084.436508,152000,1.0
1703646176.8033524,154000,1.0
1703646269.0293207,156000,1.0
1703646359.8570971,158000,1.0
1703646450.8290653,160000,1.0
1703646541.6078022,162000,1.0
1703646632.3583767,164000,1.0
1703646724.047923,166000,1.0
1703646815.6439404,168000,1.0
1703646906.8494048,170000,1.0
1703646997.372081,172000,1.0
1703647089.0831037,174000,1.0
1703647180.3650146,176000,1.0
1703647271.7234986,178000,1.0
1703647365.1628516,180000,1.0
1703647458.740817,182000,1.0
1703647551.2225685,184000,1.0
1703647644.0268846,186000,1.0
1703647735.7595327,188000,1.0
1703647829.0124536,190000,1.0
1703647922.870677,192000,1.0
1703648016.899002,194000,1.0
1703648111.2856486,196000,1.0
1703648205.447597,198000,1.0
1703648300.8113642,200000,1.0
1703648395.6058817,202000,1.0
1703648490.6173487,204000,1.0
1703648584.1595747,206000,1.0
1703648678.3912897,208000,1.0
1703648774.1695516,210000,1.0
1703648867.0474708,212000,1.0
1703648960.5219684,214000,1.0
1703649053.4505959,216000,1.0
1703649146.2087197,218000,1.0
1703649239.7029207,220000,1.0
1703649333.6019065,222000,1.0
1703649427.6798494,224000,1.0
