Wall time,Step,Value
1703670119.9230015,2000,0.0
1703670202.717529,4000,0.0
1703670286.1958048,6000,0.0
1703670370.3654277,8000,0.0
1703670454.8363934,10000,0.0
1703670539.2113028,12000,0.0
1703670623.238799,14000,0.0
1703670706.9908407,16000,0.0
1703670790.769017,18000,0.0
1703670875.396961,20000,0.0
1703670959.9524598,22000,0.0
1703671044.9482565,24000,0.0
1703671131.355121,26000,0.0
1703671216.5897236,28000,0.0
1703671304.9996023,30000,0.0
1703671391.5383468,32000,0.0
1703671478.1596866,34000,0.0
1703671565.315866,36000,0.0
1703671652.2031212,38000,0.0
1703671738.288443,40000,0.0
1703671824.7409308,42000,0.0
1703671910.219868,44000,0.0
1703671995.5338478,46000,0.0
1703672081.3860588,48000,0.0
1703672167.188146,50000,0.0
1703672254.717302,52000,0.0
1703672341.192593,54000,0.0
1703672427.2531147,56000,0.0
1703672514.201691,58000,0.0
1703672600.396544,60000,0.0
1703672686.8817408,62000,0.0
1703672773.2969208,64000,0.0
1703672859.3004467,66000,0.0
1703672946.0234125,68000,0.0
1703673033.2860706,70000,0.0
1703673118.8985503,72000,0.0
1703673204.3841317,74000,0.0
1703673289.5588884,76000,0.0
1703673376.0846384,78000,0.0
1703673462.153785,80000,0.0
1703673548.2539582,82000,0.0
1703673634.699729,84000,0.0
1703673721.8350587,86000,0.0
1703673808.9348454,88000,0.0
1703673894.7997513,90000,0.0
1703673981.8230898,92000,0.0
1703674068.7325966,94000,0.0
1703674155.0619142,96000,0.0
1703674241.635555,98000,0.0
1703674327.8221092,100000,0.0
1703674414.2002645,102000,0.0
1703674500.1816835,104000,0.0
1703674585.7821817,106000,0.0
1703674671.490208,108000,0.0
1703674757.2506676,110000,0.0
1703674843.3828855,112000,0.0
1703674929.2005074,114000,0.0
1703675015.12174,116000,0.0
1703675102.7912707,118000,0.0
1703675189.0425746,120000,0.0
1703675275.2466109,122000,0.0
1703675364.87617,124000,0.0
1703675452.4007864,126000,0.0
1703675540.063149,128000,0.0
1703675628.783757,130000,0.0
1703675716.6737063,132000,0.0
1703675803.4414387,134000,0.0
1703675891.5119662,136000,0.0
1703675979.755401,138000,0.0
1703676066.7491415,140000,0.0
1703676156.0044649,142000,0.0
1703676243.5675335,144000,0.0
1703676331.8626823,146000,0.0
1703676420.1647565,148000,0.0
1703676508.9263403,150000,0.0
1703676596.5997636,152000,0.0
1703676683.829696,154000,0.0
1703676771.2261915,156000,0.0
1703676858.1966884,158000,0.0
1703676945.9202816,160000,0.0
1703677032.8538566,162000,0.0
1703677120.8904357,164000,0.0
1703677207.322791,166000,0.0
1703677294.4300916,168000,0.0
1703677382.050316,170000,0.0
1703677469.450299,172000,0.0
1703677556.5053418,174000,0.0
1703677643.4684432,176000,0.0
1703677730.3104208,178000,0.0
1703677817.3467555,180000,0.0
1703677904.7441163,182000,0.0
1703677990.7786245,184000,0.0
1703678079.2081866,186000,0.0
1703678164.784653,188000,0.0
1703678251.9921138,190000,0.0
1703678340.3662643,192000,0.0
1703678426.5299494,194000,0.0
1703678512.7649004,196000,0.0
1703678599.7229128,198000,0.0
1703678686.0412211,200000,0.0
1703678772.3912704,202000,0.0
1703678861.0896707,204000,0.0
1703678948.129053,206000,0.0
1703679035.4921944,208000,1.0
1703679121.3876815,210000,1.0
1703679206.6340928,212000,0.0
1703679292.3587456,214000,0.0
1703679378.4825356,216000,0.0
1703679467.0442634,218000,0.0
1703679555.0556862,220000,1.0
1703679640.7143335,222000,1.0
1703679727.2540913,224000,1.0
1703679815.7857044,226000,1.0
1703679903.745607,228000,1.0
1703679990.972809,230000,0.0
1703680078.85063,232000,1.0
1703680166.9218283,234000,1.0
1703680254.7895312,236000,1.0
1703680341.333437,238000,1.0
1703680427.0964978,240000,1.0
1703680513.053721,242000,1.0
1703680599.104042,244000,1.0
1703680684.477043,246000,1.0
1703680772.078808,248000,0.0
1703680858.6853223,250000,1.0
1703680945.1702502,252000,1.0
1703681031.4822352,254000,1.0
1703681118.0010562,256000,0.0
1703681205.3347597,258000,1.0
1703681292.7710433,260000,0.0
1703681380.062508,262000,0.0
1703681468.9459782,264000,1.0
1703681558.6679037,266000,1.0
1703681648.0101826,268000,0.0
1703681737.317622,270000,1.0
1703681825.6610217,272000,1.0
1703681914.5781834,274000,0.0
1703682002.7311118,276000,1.0
1703682092.134495,278000,1.0
1703682181.4415944,280000,1.0
1703682270.1613748,282000,1.0
1703682360.2049208,284000,1.0
1703682449.6023617,286000,1.0
1703682538.4473357,288000,1.0
1703682628.0497005,290000,1.0
1703682716.5865393,292000,1.0
1703682805.281109,294000,1.0
1703682893.4837782,296000,1.0
1703682981.3383915,298000,1.0
1703683069.2208147,300000,1.0
1703683156.5595632,302000,1.0
1703683243.3542187,304000,1.0
1703683329.7244046,306000,1.0
1703683416.2582538,308000,1.0
1703683503.361803,310000,1.0
1703683590.1147697,312000,1.0
1703683676.673686,314000,1.0
1703683762.9630952,316000,1.0
1703683849.569034,318000,1.0
1703683936.3831344,320000,1.0
1703684023.4934304,322000,1.0
1703684110.3573947,324000,1.0
1703684197.3833904,326000,1.0
1703684284.401818,328000,1.0
1703684371.3019855,330000,1.0
1703684459.4389775,332000,0.0
1703684546.3154829,334000,1.0
1703684633.1585624,336000,1.0
1703684721.0045595,338000,1.0
1703684808.1527536,340000,1.0
1703684896.175722,342000,1.0
1703684984.2043803,344000,1.0
1703685071.5632727,346000,1.0
1703685158.8682122,348000,1.0
1703685245.638244,350000,1.0
1703685333.168801,352000,1.0
1703685420.1139915,354000,1.0
1703685507.075224,356000,1.0
1703685594.1343017,358000,1.0
1703685681.9655378,360000,1.0
1703685770.1626222,362000,1.0
1703685858.6093323,364000,1.0
1703685946.497315,366000,1.0
1703686033.5109704,368000,1.0
1703686121.3648572,370000,1.0
1703686208.1099768,372000,1.0
1703686295.9735262,374000,1.0
1703686383.71592,376000,1.0
1703686472.106318,378000,1.0
1703686559.46041,380000,1.0
1703686646.8729775,382000,1.0
1703686734.9804697,384000,1.0
1703686822.932046,386000,1.0
1703686911.0174417,388000,1.0
1703686998.6331081,390000,1.0
1703687088.6096418,392000,1.0
1703687174.6775386,394000,1.0
1703687263.443065,396000,1.0
1703687350.0680647,398000,1.0
1703687436.381676,400000,1.0
1703687523.527072,402000,1.0
1703687610.311522,404000,1.0
1703687697.9321032,406000,1.0
1703687784.5553591,408000,1.0
1703687870.9747555,410000,1.0
1703687957.3335328,412000,1.0
1703688044.6451747,414000,1.0
1703688133.32009,416000,1.0
1703688219.9649653,418000,1.0
1703688306.675444,420000,1.0
1703688394.0600243,422000,1.0
1703688483.2943335,424000,1.0
1703688572.3130183,426000,1.0
1703688661.4545822,428000,1.0
1703688748.5189967,430000,1.0
1703688838.372591,432000,1.0
1703688926.5726275,434000,1.0
1703689014.4628096,436000,1.0
1703689101.6972306,438000,1.0
1703689188.1387718,440000,1.0
1703689275.306471,442000,1.0
1703689361.5489442,444000,1.0
1703689449.653877,446000,1.0
1703689536.817236,448000,1.0
1703689626.0673554,450000,1.0
1703689713.7266176,452000,1.0
1703689801.1451387,454000,1.0
1703689888.143698,456000,1.0
1703689974.7578125,458000,1.0
1703690062.319007,460000,1.0
1703690149.5851014,462000,1.0
1703690237.7058282,464000,1.0
1703690325.113255,466000,1.0
1703690412.6429806,468000,1.0
1703690500.5994751,470000,1.0
1703690588.0323675,472000,1.0
1703690675.4764416,474000,1.0
1703690763.1725445,476000,1.0
1703690850.854711,478000,1.0
1703690937.8236341,480000,1.0
1703691025.2454612,482000,1.0
1703691111.1905622,484000,1.0
1703691197.0930388,486000,1.0
1703691283.1450584,488000,1.0
1703691370.05171,490000,1.0
1703691457.143956,492000,1.0
1703691543.269428,494000,1.0
1703691630.4006908,496000,1.0
1703691717.415442,498000,1.0
1703691804.5365763,500000,1.0
1703691891.6098502,502000,1.0
1703691978.105415,504000,1.0
1703692065.235619,506000,1.0
1703692152.6040714,508000,1.0
1703692239.7876878,510000,1.0
1703692326.9918275,512000,1.0
1703692415.4918458,514000,1.0
1703692504.175782,516000,1.0
1703692591.026163,518000,1.0
1703692678.4774606,520000,1.0
1703692765.012384,522000,1.0
1703692852.4787893,524000,1.0
1703692939.651575,526000,1.0
1703693026.6019647,528000,1.0
1703693114.2359974,530000,1.0
1703693201.5611103,532000,1.0
1703693288.918648,534000,1.0
1703693376.151408,536000,1.0
1703693463.5300648,538000,1.0
1703693550.4594882,540000,1.0
1703693636.9730682,542000,1.0
1703693723.6034806,544000,1.0
1703693810.3024452,546000,1.0
1703693897.776112,548000,1.0
1703693984.707905,550000,1.0
1703694071.2737641,552000,1.0
1703694157.4341285,554000,1.0
1703694243.5643895,556000,1.0
1703694330.8344498,558000,1.0
1703694418.1829994,560000,1.0
1703694505.170447,562000,1.0
1703694591.7550116,564000,1.0
1703694678.880845,566000,1.0
1703694765.627747,568000,1.0
1703694852.2871935,570000,1.0
1703694938.67274,572000,1.0
1703695025.2344909,574000,1.0
1703695111.3136635,576000,1.0
1703695197.597473,578000,1.0
1703695284.636974,580000,1.0
1703695371.0714629,582000,1.0
1703695457.5201821,584000,1.0
1703695544.7386289,586000,1.0
1703695631.8760343,588000,1.0
1703695718.5951502,590000,1.0
1703695805.750824,592000,1.0
1703695892.8219361,594000,1.0
1703695979.5201833,596000,1.0
1703696067.2951984,598000,1.0
1703696154.5326965,600000,1.0
1703696242.3447971,602000,1.0
1703696328.6447682,604000,1.0
1703696415.9824858,606000,1.0
1703696502.6333175,608000,1.0
1703696590.1342118,610000,1.0
1703696678.1069896,612000,1.0
1703696765.098242,614000,1.0
1703696852.4343672,616000,1.0
1703696939.7508647,618000,1.0
1703697026.272262,620000,1.0
1703697112.9789312,622000,1.0
1703697200.5204768,624000,1.0
1703697288.2568846,626000,1.0
1703697375.0331945,628000,1.0
1703697462.0152187,630000,1.0
1703697548.9887621,632000,1.0
1703697635.768349,634000,1.0
1703697723.6309845,636000,1.0
1703697811.3704934,638000,1.0
1703697899.1139853,640000,1.0
1703697986.4016967,642000,1.0
1703698073.3946402,644000,1.0
1703698161.261233,646000,1.0
1703698248.3191855,648000,1.0
1703698336.6406631,650000,1.0
1703698424.2784815,652000,1.0
1703698511.5441208,654000,1.0
1703698600.2283642,656000,1.0
1703698688.7767482,658000,1.0
1703698776.8110168,660000,1.0
1703698865.5738292,662000,1.0
1703698954.9090476,664000,1.0
1703699043.564863,666000,1.0
1703699132.6918256,668000,1.0
1703699220.6036005,670000,1.0
1703699309.5434053,672000,1.0
1703699398.3209617,674000,1.0
1703699487.0338674,676000,1.0
1703699573.9432046,678000,1.0
1703699661.6645172,680000,1.0
1703699748.990155,682000,1.0
1703699836.711169,684000,1.0
1703699924.094397,686000,1.0
1703700011.3966036,688000,1.0
1703700098.32814,690000,1.0
1703700186.1276782,692000,1.0
1703700273.7016916,694000,1.0
1703700361.0663369,696000,1.0
1703700448.1418447,698000,1.0
1703700535.0567129,700000,1.0
1703700621.9575481,702000,1.0
1703700710.5136454,704000,1.0
1703700797.771341,706000,1.0
1703700884.6131754,708000,1.0
1703700972.130655,710000,1.0
1703701060.0182662,712000,1.0
1703701146.8581867,714000,1.0
1703701234.2700262,716000,1.0
1703701322.1106403,718000,1.0
1703701408.8285112,720000,1.0
1703701496.219267,722000,1.0
1703701583.0351903,724000,1.0
1703701670.7864206,726000,1.0
1703701757.2181265,728000,1.0
1703701844.295115,730000,1.0
1703701931.0806592,732000,1.0
1703702017.7530136,734000,1.0
1703702104.709502,736000,1.0
1703702192.4267795,738000,1.0
1703702279.1590235,740000,1.0
1703702366.58797,742000,1.0
1703702453.5197194,744000,1.0
1703702540.3602438,746000,1.0
1703702627.6103406,748000,1.0
1703702714.0577834,750000,1.0
1703702800.6305556,752000,1.0
1703702888.058314,754000,1.0
1703702975.4411287,756000,1.0
1703703062.034292,758000,1.0
1703703150.5355294,760000,1.0
1703703238.5481343,762000,1.0
1703703325.8478281,764000,1.0
1703703413.8873808,766000,1.0
1703703500.4850764,768000,1.0
1703703588.2295103,770000,1.0
1703703676.3325546,772000,1.0
1703703763.5974739,774000,1.0
1703703850.6764996,776000,1.0
1703703937.7748303,778000,1.0
1703704025.2923553,780000,1.0
1703704113.096957,782000,1.0
1703704200.5978556,784000,1.0
1703704287.8322153,786000,1.0
1703704374.9921892,788000,1.0
1703704462.0182931,790000,1.0
1703704549.814419,792000,1.0
1703704636.7248092,794000,1.0
1703704724.3277402,796000,1.0
1703704811.4660113,798000,1.0
1703704899.1865296,800000,1.0
1703704987.2644913,802000,1.0
1703705075.1008987,804000,1.0
