Wall time,Step,Value
1699423900.0367377,2000,0.0
1699423962.1732688,4000,0.0
1699424025.2786274,6000,0.0
1699424088.800186,8000,0.0
1699424152.365223,10000,0.0
1699424216.3870113,12000,0.0
1699424280.7314231,14000,0.0
1699424346.6307976,16000,0.0
1699424412.3427744,18000,0.0
1699424479.3657866,20000,0.0
1699424545.7953484,22000,0.0
1699424612.2826028,24000,0.0
1699424677.5282514,26000,0.0
1699424742.6244745,28000,0.0
1699424807.7754276,30000,0.0
1699424873.559901,32000,0.0
1699424938.978176,34000,0.0
1699425005.326602,36000,0.0
1699425072.4884112,38000,0.0
1699425138.9103065,40000,1.0
1699425205.1550486,42000,1.0
1699425271.2505863,44000,1.0
1699425337.756535,46000,0.0
1699425404.6708367,48000,1.0
1699425472.0220206,50000,1.0
1699425539.676824,52000,1.0
1699425606.4560347,54000,1.0
1699425673.497588,56000,1.0
1699425741.139675,58000,1.0
1699425808.6548967,60000,1.0
1699425875.694436,62000,1.0
1699425943.3299,64000,1.0
1699426011.012131,66000,1.0
1699426078.581926,68000,1.0
1699426146.1123323,70000,1.0
1699426213.2090218,72000,1.0
1699426280.8920102,74000,1.0
1699426348.1991339,76000,1.0
1699426415.7552922,78000,1.0
1699426483.219804,80000,1.0
1699426550.495448,82000,1.0
1699426618.6725488,84000,1.0
1699426686.4097161,86000,1.0
1699426753.7539282,88000,1.0
1699426820.9871502,90000,1.0
1699426888.3852682,92000,1.0
1699426955.601252,94000,1.0
1699427024.2468376,96000,1.0
1699427092.493002,98000,0.0
1699427159.8600292,100000,1.0
1699427227.626704,102000,1.0
1699427295.3611557,104000,1.0
1699427362.7383547,106000,1.0
1699427429.5558183,108000,1.0
1699427496.7223325,110000,1.0
1699427563.9318848,112000,1.0
1699427631.4177468,114000,1.0
1699427699.718933,116000,1.0
1699427767.3568926,118000,1.0
1699427834.796411,120000,1.0
1699427901.4825723,122000,1.0
1699427971.0076277,124000,1.0
1699428039.3747861,126000,1.0
1699428107.4816182,128000,1.0
1699428175.4868386,130000,1.0
1699428243.9608176,132000,1.0
1699428312.3940883,134000,1.0
1699428382.0740814,136000,1.0
1699428450.1641786,138000,1.0
1699428516.9265933,140000,1.0
1699428584.7479212,142000,1.0
1699428652.5145135,144000,1.0
1699428720.6445532,146000,1.0
1699428788.4577103,148000,1.0
1699428855.134835,150000,1.0
