Wall time,Step,Value
1699423900.0367482,2000,0.0
1699423962.1732771,4000,0.0
1699424025.2786343,6000,0.0
1699424088.8001933,8000,0.0
1699424152.3652298,10000,0.0
1699424216.3870196,12000,0.0
1699424280.7314303,14000,0.0
1699424346.6308045,16000,0.0
1699424412.3427818,18000,0.0
1699424479.3657932,20000,0.0
1699424545.7953556,22000,0.0
1699424612.2826102,24000,0.0
1699424677.5282586,26000,0.0
1699424742.6244814,28000,0.0
1699424807.7754345,30000,0.0
1699424873.5599077,32000,0.0
1699424938.9781826,34000,0.0
1699425005.3266091,36000,0.0
1699425072.4884179,38000,1.0
1699425138.9103131,40000,1.0
1699425205.1550555,42000,0.0
1699425271.2505934,44000,1.0
1699425337.7565415,46000,1.0
1699425404.6708434,48000,1.0
1699425472.0220273,50000,1.0
1699425539.6768312,52000,1.0
1699425606.4560418,54000,1.0
1699425673.4975948,56000,1.0
1699425741.1396825,58000,1.0
1699425808.6549041,60000,1.0
1699425875.694443,62000,1.0
1699425943.3299077,64000,1.0
1699426011.0121377,66000,1.0
1699426078.5819333,68000,1.0
1699426146.1123388,70000,1.0
1699426213.2090287,72000,1.0
1699426280.892017,74000,1.0
1699426348.1991405,76000,1.0
1699426415.7552996,78000,1.0
1699426483.2198114,80000,1.0
1699426550.4954624,82000,1.0
1699426618.6725557,84000,1.0
1699426686.4097238,86000,1.0
1699426753.753935,88000,1.0
1699426820.9871562,90000,1.0
1699426888.385275,92000,1.0
1699426955.6012585,94000,1.0
1699427024.2468445,96000,1.0
1699427092.4930089,98000,1.0
1699427159.860036,100000,1.0
1699427227.6267104,102000,1.0
1699427295.361163,104000,1.0
1699427362.7383614,106000,1.0
1699427429.555825,108000,1.0
1699427496.7223394,110000,1.0
1699427563.931892,112000,1.0
1699427631.4177537,114000,1.0
1699427699.7189403,116000,1.0
1699427767.3568995,118000,1.0
1699427834.796418,120000,1.0
1699427901.4825788,122000,1.0
1699427971.0076346,124000,1.0
1699428039.3747928,126000,1.0
1699428107.4816248,128000,1.0
1699428175.4868453,130000,1.0
1699428243.9608245,132000,1.0
1699428312.3940954,134000,1.0
1699428382.0740888,136000,1.0
1699428450.164185,138000,1.0
1699428516.9266005,140000,1.0
1699428584.747928,142000,1.0
1699428652.5145202,144000,1.0
1699428720.6445603,146000,1.0
1699428788.4577167,148000,1.0
1699428855.134842,150000,1.0
